Year,SERIES,Godine,Kategorije korisnika,Spol,UNIT_MEASURE,Value
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Materijalno neobezbjeđena i za rad nesposobne osobe,,,0.0
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Novčane pomoći,,,43.692
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Novčane pomoći,,,41.627
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Novčane pomoći,,,41.917
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Novčane pomoći,,,44.151
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Novčane pomoći,,,43.415
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Novčane pomoći,,,40.928
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Novčane pomoći,,,39.339
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Novčane pomoći,,,42.311
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Novčane pomoći,,,40.165
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Novčane pomoći,,,47.662
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,13.909
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,14.6
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,12.703
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,13.962
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,14.357
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,14.429
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,13.589
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,13.538
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,12.524
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,13.711
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Pomoć u rješavanju stambenog pitanja,,,302.0
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Pomoć u rješavanju stambenog pitanja,,,278.0
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Pomoć u rješavanju stambenog pitanja,,,229.0
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Pomoć u rješavanju stambenog pitanja,,,244.0
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Pomoć u rješavanju stambenog pitanja,,,233.0
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Pomoć u rješavanju stambenog pitanja,,,203.0
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Pomoć u rješavanju stambenog pitanja,,,144.0
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Pomoć u rješavanju stambenog pitanja,,,200.0
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Pomoć u rješavanju stambenog pitanja,,,998.0
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Pomoć u rješavanju stambenog pitanja,,,174.0
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,9.532
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,8.694
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,8.26
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,7.467
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,6.547
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,6.596
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,6.569
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,4.462
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,6.046
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,9.331
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,S teškim stambenim prilikama,,,6.029
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,S teškim stambenim prilikama,,,6.488
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,S teškim stambenim prilikama,,,6.366
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,S teškim stambenim prilikama,,,6.51
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,S teškim stambenim prilikama,,,6.566
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,S teškim stambenim prilikama,,,6.667
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,S teškim stambenim prilikama,,,6.51
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,S teškim stambenim prilikama,,,6.491
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,S teškim stambenim prilikama,,,6.131
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,S teškim stambenim prilikama,,,5.801
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Subvencije troškova stanarine, grijanja i sahrane",,,3.622
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Subvencije troškova stanarine, grijanja i sahrane",,,3.098
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Subvencije troškova stanarine, grijanja i sahrane",,,3.242
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Subvencije troškova stanarine, grijanja i sahrane",,,2.949
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Subvencije troškova stanarine, grijanja i sahrane",,,3.01
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Subvencije troškova stanarine, grijanja i sahrane",,,2.913
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Subvencije troškova stanarine, grijanja i sahrane",,,3.151
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Subvencije troškova stanarine, grijanja i sahrane",,,3.102
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Subvencije troškova stanarine, grijanja i sahrane",,,2.893
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,"Subvencije troškova stanarine, grijanja i sahrane",,,3.135
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Materijalno neobezbjeđena i za rad nesposobne osobe,,,19.132
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Materijalno neobezbjeđena i za rad nesposobne osobe,,,19.242
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Materijalno neobezbjeđena i za rad nesposobne osobe,,,20.528
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Materijalno neobezbjeđena i za rad nesposobne osobe,,,21.132
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Materijalno neobezbjeđena i za rad nesposobne osobe,,,20.7
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Materijalno neobezbjeđena i za rad nesposobne osobe,,,20.542
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Materijalno neobezbjeđena i za rad nesposobne osobe,,,20.573
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Materijalno neobezbjeđena i za rad nesposobne osobe,,,19.793
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Materijalno neobezbjeđena i za rad nesposobne osobe,,,19.52
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,18 godina i više,Materijalno neobezbjeđena i za rad nesposobne osobe,,,19.124
